target_RBP,genes,category_loop,colors_interaction_loop
Lsm2,Prp3,Overlap,#7570B3
Lsm2,Prp38,Overlap,#7570B3
Lsm2,Smb1,Overlap,#7570B3
Lsm2,Smd2,Overlap,#7570B3
Lsm2,Brr2,Overlap,#7570B3
Lsm2,Prp24,Overlap,#7570B3
Lsm2,Snu23,Overlap,#7570B3
Lsm2,Prp4,Overlap,#7570B3
Lsm2,Snu114,Overlap,#7570B3
Lsm2,Rpa43,Overlap,#7570B3
Lsm2,Prp8,Overlap,#7570B3
Lsm2,Lsm6,PPI,#66A61E
Lsm2,Lsm4,PPI,#66A61E
Lsm2,Enp1,PPI,#66A61E
Lsm2,Lsm8,PPI,#66A61E
Lsm2,Lsm3,PPI,#66A61E
Lsm2,Bcs1,PPI,#66A61E
Lsm2,Lsm1,PPI,#66A61E
Lsm2,Lsm7,PPI,#66A61E
Lsm2,Prp31,PPI,#66A61E
Lsm2,Tcp1,PPI,#66A61E
Lsm2,Pat1,PPI,#66A61E
Lsm2,Sup45,PPI,#66A61E
Lsm2,Cad1,PPI,#66A61E
Lsm2,Lsm5,PPI,#66A61E
Lsm2,Rpg1,PPI,#66A61E
Lsm2,Pet123,PPI,#66A61E
Lsm2,Gpx2,PPI,#66A61E
Lsm2,Mrps9,PPI,#66A61E
Lsm2,Gcd1,PPI,#66A61E
Lsm2,Csr1,PPI,#66A61E
Lsm2,Mrp13,PPI,#66A61E
Lsm2,Mir1,PPI,#66A61E
Lsm2,Pdc1,PPI,#66A61E
Lsm2,Nab3,PPI,#66A61E
Lsm2,Hog1,PPI,#66A61E
Lsm2,Mrps16,PPI,#66A61E
Lsm2,Gfa1,PPI,#66A61E
Lsm2,Hgh1,PPI,#66A61E
Lsm2,Mrpl23,PPI,#66A61E
Lsm2,Mrps17,PPI,#66A61E
Lsm2,Mrpl3,PPI,#66A61E
Lsm2,Ade12,PPI,#66A61E
Lsm2,Cpa2,PPI,#66A61E
Lsm2,Lys20,PPI,#66A61E
Lsm2,Prs3,PPI,#66A61E
Lsm2,Prp6,PPI,#66A61E
Lsm2,Dim1,PPI,#66A61E
Lsm2,Mrps28,PPI,#66A61E
Lsm2,Prs4,PPI,#66A61E
Lsm2,Spp381,PPI,#66A61E
Lsm2,Snu66,PPI,#66A61E
Lsm2,Tub1,PPI,#66A61E
Lsm2,Nam9,PPI,#66A61E
Lsm2,Mtr4,PPI,#66A61E
Lsm2,Ypl225w,PPI,#66A61E
Lsm2,Trm1,RNAmediated,#D95F02
Lsm2,Pab1,RNAmediated,#D95F02
Lsm2,Rbg1,RNAmediated,#D95F02
Lsm2,Imd3,RNAmediated,#D95F02
Lsm2,Smd1,RNAmediated,#D95F02
Lsm2,Utp22,RNAmediated,#D95F02
Lsm2,Bfr1,RNAmediated,#D95F02
Lsm2,Hmo1,RNAmediated,#D95F02
Lsm2,Mrpl1,RNAmediated,#D95F02
Lsm2,Cus1,RNAmediated,#D95F02
Lsm2,Hho1,RNAmediated,#D95F02
Lsm2,Mss116,RNAmediated,#D95F02
Lsm2,Xrn1,RNAmediated,#D95F02
Lsm2,Imp4,RNAmediated,#D95F02
Lsm2,Nop4,RNAmediated,#D95F02
Lsm2,Rse1,RNAmediated,#D95F02
Lsm2,Mgm101,RNAmediated,#D95F02
Lsm2,Gly1,RNAmediated,#D95F02
Lsm2,Tma46,RNAmediated,#D95F02
Lsm2,Stm1,RNAmediated,#D95F02
Lsm2,Kri1,RNAmediated,#D95F02
Lsm2,Rrp5,RNAmediated,#D95F02
Lsm2,Yra1,RNAmediated,#D95F02
Lsm2,Hsh155,RNAmediated,#D95F02
Lsm2,Ape3,RNAmediated,#D95F02
Lsm2,Ubp3,RNAmediated,#D95F02
Lsm2,Dps1,RNAmediated,#D95F02
Lsm2,Pre8,RNAmediated,#D95F02
Lsm2,Sro9,RNAmediated,#D95F02
Lsm2,Nop12,RNAmediated,#D95F02
Lsm2,Rli1,RNAmediated,#D95F02
Lsm2,Mrpl11,RNAmediated,#D95F02
Lsm2,Dib1,RNAmediated,#D95F02
Lsm2,Fas1,RNAmediated,#D95F02
Lsm2,Scp160,RNAmediated,#D95F02
Lsm2,Ura5,RNAmediated,#D95F02
Lsm2,Smd3,RNAmediated,#D95F02
Lsm2,Yml6,RNAmediated,#D95F02
Dhh1,Nop4,Overlap,#7570B3
Dhh1,Ssd1,Overlap,#7570B3
Dhh1,Xrn1,Overlap,#7570B3
Dhh1,Ebs1,Overlap,#7570B3
Dhh1,Hmo1,Overlap,#7570B3
Dhh1,Pat1,Overlap,#7570B3
Dhh1,Nam7,Overlap,#7570B3
Dhh1,Lsm1,PPI,#66A61E
Dhh1,Lsm4,PPI,#66A61E
Dhh1,Lsm7,PPI,#66A61E
Dhh1,Dcp1,PPI,#66A61E
Dhh1,Lsm2,PPI,#66A61E
Dhh1,Rpm2,PPI,#66A61E
Dhh1,Ufd4,PPI,#66A61E
Dhh1,Nmd4,PPI,#66A61E
Dhh1,Lsm3,PPI,#66A61E
Dhh1,Pwp2,PPI,#66A61E
Dhh1,Tor1,PPI,#66A61E
Dhh1,Vtc1,PPI,#66A61E
Dhh1,Bro1,PPI,#66A61E
Dhh1,Bms1,PPI,#66A61E
Dhh1,Fpr3,PPI,#66A61E
Dhh1,Rpb8,PPI,#66A61E
Dhh1,Sro9,PPI,#66A61E
Dhh1,Mon2,PPI,#66A61E
Dhh1,Ecm16,PPI,#66A61E
Dhh1,Vma13,PPI,#66A61E
Dhh1,Mrpl22,PPI,#66A61E
Dhh1,Hrr25,PPI,#66A61E
Dhh1,Kog1,PPI,#66A61E
Dhh1,Brr2,PPI,#66A61E
Dhh1,Mrpl17,PPI,#66A61E
Dhh1,Rsc9,PPI,#66A61E
Dhh1,Rps29a,PPI,#66A61E
Dhh1,Gin4,PPI,#66A61E
Dhh1,Fun30,PPI,#66A61E
Dhh1,Tpd3,PPI,#66A61E
Dhh1,Edc3,PPI,#66A61E
Dhh1,Utp20,PPI,#66A61E
Dhh1,Rps2,PPI,#66A61E
Dhh1,Fpr1,PPI,#66A61E
Dhh1,Mrpl7,PPI,#66A61E
Dhh1,Ccr4,PPI,#66A61E
Dhh1,Rrg8,PPI,#66A61E
Dhh1,Hxk1,PPI,#66A61E
Dhh1,Glk1,PPI,#66A61E
Dhh1,Mdn1,PPI,#66A61E
Dhh1,Pbp4,PPI,#66A61E
Dhh1,Hhf2,PPI,#66A61E
Dhh1,Sac6,PPI,#66A61E
Dhh1,Rpl18a,PPI,#66A61E
Dhh1,Mdj1,PPI,#66A61E
Dhh1,Ils1,PPI,#66A61E
Dhh1,Mrpl15,PPI,#66A61E
Dhh1,Gsp1,PPI,#66A61E
Dhh1,Atp2,PPI,#66A61E
Dhh1,Tif11,PPI,#66A61E
Dhh1,Gyp5,PPI,#66A61E
Dhh1,Npa3,PPI,#66A61E
Dhh1,Cof1,PPI,#66A61E
Dhh1,Rvs161,PPI,#66A61E
Dhh1,Pro3,PPI,#66A61E
Dhh1,Dcp2,PPI,#66A61E
Dhh1,Ade2,PPI,#66A61E
Dhh1,Kes1,PPI,#66A61E
Dhh1,Hsp82,PPI,#66A61E
Dhh1,Trx1,PPI,#66A61E
Dhh1,Ski3,PPI,#66A61E
Dhh1,Ecm29,PPI,#66A61E
Dhh1,Yop1,PPI,#66A61E
Dhh1,Mir1,PPI,#66A61E
Dhh1,Atp1,PPI,#66A61E
Dhh1,Ylr419w,PPI,#66A61E
Dhh1,Ynr021w,PPI,#66A61E
Dhh1,Pab1,RNAmediated,#D95F02
Dhh1,Tif4632,RNAmediated,#D95F02
Dhh1,Nop12,RNAmediated,#D95F02
Dhh1,Rgd2,RNAmediated,#D95F02
Dhh1,Bre5,RNAmediated,#D95F02
Dhh1,Utp22,RNAmediated,#D95F02
Dhh1,Trm1,RNAmediated,#D95F02
Dhh1,Hho1,RNAmediated,#D95F02
Dhh1,Rsc6,RNAmediated,#D95F02
Dhh1,Ubp3,RNAmediated,#D95F02
Dhh1,Rrp5,RNAmediated,#D95F02
Dhh1,Snf12,RNAmediated,#D95F02
Dhh1,Mis1,RNAmediated,#D95F02
Dhh1,Pus4,RNAmediated,#D95F02
Dhh1,Gbp2,RNAmediated,#D95F02
Dhh1,Efg1,RNAmediated,#D95F02
Dhh1,Tif4631,RNAmediated,#D95F02
Dhh1,Tma46,RNAmediated,#D95F02
Dhh1,Swi3,RNAmediated,#D95F02
Dhh1,Gcd14,RNAmediated,#D95F02
Dhh1,Imd3,RNAmediated,#D95F02
Dhh1,Imd4,RNAmediated,#D95F02
Dhh1,Tma64,RNAmediated,#D95F02
Dhh1,Arp7,RNAmediated,#D95F02
Dhh1,Mgm101,RNAmediated,#D95F02
Dhh1,Prd1,RNAmediated,#D95F02
Dhh1,Gcd10,RNAmediated,#D95F02
Dhh1,Nop13,RNAmediated,#D95F02
Dhh1,Rbg1,RNAmediated,#D95F02
Dhh1,Yra1,RNAmediated,#D95F02
Dhh1,Ecm32,RNAmediated,#D95F02
Dhh1,Cbp2,RNAmediated,#D95F02
Dhh1,Nab3,RNAmediated,#D95F02
Dhh1,Pol2,RNAmediated,#D95F02
Dhh1,Bfr1,RNAmediated,#D95F02
Dhh1,Rrp7,RNAmediated,#D95F02
Dhh1,Dur1,2,RNAmediated,#D95F02
Dhh1,Cse1,RNAmediated,#D95F02
