target_RBP,genes,category_loop,colors_interaction_loop
Ist3,Erg6,PPI,#66A61E
Ist3,Ape1,PPI,#66A61E
Ist3,Sec31,PPI,#66A61E
Ist3,Rpa135,PPI,#66A61E
Ist3,Hxk1,PPI,#66A61E
Ist3,Cop1,PPI,#66A61E
Ist3,Pml1,PPI,#66A61E
Ist3,Rpo31,PPI,#66A61E
Ist3,Ura1,PPI,#66A61E
Ist3,Mss116,PPI,#66A61E
Ist3,Aro4,PPI,#66A61E
Ist3,Rpn7,PPI,#66A61E
Ist3,Idh2,PPI,#66A61E
Ist3,Gcn1,PPI,#66A61E
Ist3,Rpn9,PPI,#66A61E
Ist3,Sir4,PPI,#66A61E
Ist3,Hsh155,PPI,#66A61E
Ist3,Net1,PPI,#66A61E
Ist3,Aro1,PPI,#66A61E
Ist3,Rpn2,PPI,#66A61E
Ist3,Prp8,PPI,#66A61E
Ist3,Sam2,PPI,#66A61E
Ist3,Frs2,PPI,#66A61E
Ist3,Sti1,PPI,#66A61E
Ist3,Glo1,PPI,#66A61E
Ist3,Nop7,PPI,#66A61E
Ist3,Prp19,PPI,#66A61E
Ist3,Cct6,PPI,#66A61E
Ist3,Snu114,PPI,#66A61E
Ist3,Tdh1,PPI,#66A61E
Ist3,Rpt2,PPI,#66A61E
Ist3,Pup2,PPI,#66A61E
Ist3,Bgl2,PPI,#66A61E
Ist3,Uba1,PPI,#66A61E
Ist3,Sec14,PPI,#66A61E
Ist3,Brr2,PPI,#66A61E
Ist3,Rpt5,PPI,#66A61E
Ist3,Dld3,RNAmediated,#D95F02
Ist3,Pab1,RNAmediated,#D95F02
Ist3,Lsm12,RNAmediated,#D95F02
Ist3,She2,RNAmediated,#D95F02
Ist3,Xrn1,RNAmediated,#D95F02
Ist3,Rrp5,RNAmediated,#D95F02
Ist3,Imd4,RNAmediated,#D95F02
Ist3,Hho1,RNAmediated,#D95F02
Ist3,Tma20,RNAmediated,#D95F02
Ist3,Hmo1,RNAmediated,#D95F02
Ist3,Nam7,RNAmediated,#D95F02
Ist3,Imd3,RNAmediated,#D95F02
Ist3,Bfr1,RNAmediated,#D95F02
Ist3,Ubp3,RNAmediated,#D95F02
