source,target
Cbc2,Imd4
Cbc2,Pab1
Cbc2,Rse1
Cbc2,Cus1
Cbc2,Imd3
Cbc2,Xrn1
Cbc2,Prp40
Cbc2,Rrp5
Cbc2,Prp39
Cbc2,Snu71
Cbc2,Cdc33
Cbc2,Hmo1
Cbc2,Thp2
Cbc2,Hsh155
Cbc2,Mud1
Cbc2,Nop13
Cbc2,Rbg1
Cbc2,Sbp1
Cbc2,Prp21
Cbc2,Sro9
Cbc2,Nam7
Cbc2,Luc7
Cbc2,Mgm101
Cbc2,Scp160
Cbc2,Prp42
Cbc2,Tma46
Cbc2,Smd1
Cbc2,Rrp7
Cbc2,Rpa43
Cbc2,Vma8
Cbc2,Tif4632
Cbc2,Ubp3
Cbc2,Dbp2
Cbc2,Yra1
Cbc2,Prp19
Cbc2,Hho1
Cbc2,Utp22
Cbc2,Snu114
Cbc2,Nam8
Cbc2,Bre5
Cbc2,Rsm7
Cbc2,Nop10
Cbc2,Bfr1
Msl1,Pab1
Msl1,Imd3
Msl1,Hsh155
Msl1,Bfr1
Msl1,Hho1
Msl1,Sbp1
Msl1,Rse1
Msl1,Hmo1
Msl1,Mgm101
Msl1,Ubp3
Msl1,Rrp5
Msl1,Hrb1
Msl1,Xrn1
Msl1,Prp19
Msl1,Nop6
Msl1,Prp21
Msl1,Scp160
Msl1,Cdc60
Msl1,Tif4632
Msl1,Cef1
Msl1,Smd1
Msl1,Rbg1
Msl1,Sxm1
Msl1,Tma46
Msl1,Imd4
Msl1,Prp46
Msl1,Trm1
Msl1,Utp22
Msl1,Yra1
Msl1,Sec4
Msl1,Smb1
Msl1,Brr2
Lsm2,Trm1
Lsm2,Pab1
Lsm2,Yml6
Lsm2,Rbg1
Lsm2,Imd3
Lsm2,Smd1
Lsm2,Utp22
Lsm2,Bfr1
Lsm2,Hmo1
Lsm2,Mrpl1
Lsm2,Cus1
Lsm2,Hho1
Lsm2,Prp3
Lsm2,Prp38
Lsm2,Mss116
Lsm2,Xrn1
Lsm2,Imp4
Lsm2,Nop4
Lsm2,Rse1
Lsm2,Smb1
Lsm2,Smd2
Lsm2,Mgm101
Lsm2,Gly1
Lsm2,Brr2
Lsm2,Prp24
Lsm2,Snu23
Lsm2,Prp4
Lsm2,Tma46
Lsm2,Stm1
Lsm2,Kri1
Lsm2,Rrp5
Lsm2,Snu114
Lsm2,Yra1
Lsm2,Hsh155
Lsm2,Ape3
Lsm2,Ubp3
Lsm2,Dps1
Lsm2,Pre8
Lsm2,Rpa43
Lsm2,Sro9
Lsm2,Nop12
Lsm2,Rli1
Lsm2,Mrpl11
Lsm2,Dib1
Lsm2,Fas1
Lsm2,Prp8
Lsm2,Scp160
Lsm2,Ura5
Lsm2,Smd3
Sto1,Whi3
Sto1,Trm1
Sto1,Brr1
Sto1,Rbg1
Sto1,Prp46
Sto1,Imd3
Sto1,Mdj1
Sto1,Nop13
Sto1,Yra2
Sto1,Mgm101
Sto1,Hho1
Sto1,Pab1
Sto1,Xrn1
Sto1,Prp42
Sto1,Gcv1
Sto1,Hrb1
Sto1,Tho2
Sto1,Tif4632
Sto1,Sbp1
Sto1,Yhc1
Sto1,Mft1
Sto1,Smd1
Sto1,Hsh155
Sto1,Mud1
Sto1,Nop4
Sto1,Hpr1
Sto1,Rrp5
Sto1,Snp1
Sto1,Prp40
Sto1,Pap2
Sto1,Snu71
Sto1,Imd4
Sto1,Esf1
Sto1,Hek2
Sto1,Nit3
Sto1,Prp39
Sto1,Hmo1
Sto1,Yra1
Sto1,Ubp3
Sto1,Bfr1
Sto1,Sro9
Sto1,Cdc33
Sto1,Nop6
Sto1,Nam8
Sto1,Snu56
Sto1,Erg5
Sto1,Tex1
Sto1,Pat1
Sto1,Cwc15
Sto1,Air2
Sto1,Nrd1
Sto1,Rse1
Sto1,Smb1
Sto1,Bre5
Sto1,Smd2
Sto1,Prp19
Sto1,Nab3
Sto1,Cus1
Sto1,Rcn2
Sto1,Prp21
Sto1,Mri1
Sto1,Lhp1
Sto1,Nif3
Sto1,Luc7
Sto1,She2
Sto1,Grx3
Sto1,Prp9
Sto1,Tpd3
Sto1,Gpp2
Sto1,Prs5
